,IATA,ICAO,Airline,Call sign,Country,Comments
1961,,CER,Cetraca Aviation Service,CETRACA,Democratic Republic of the Congo,
1962,,IRU,Chabahar Airlines,CHABAHAR,Iran,
1963,,CLG,Chalair Aviation,CHALLAIR,France,
1964,OP,CHK,Chalk's International Airlines,CHALKS,United States,
1965,,CLS,Challenge Air Transport,AIRISTO,Germany,
1966,,CHS,Challenge Aviation,CHALLENGE AVIATION,Australia,
1967,,OFF,Challenge International Airlines,CHALLENGE AIR,United States,
1968,,CHG,Challenge Aero,SKY CHALLENGER,Ukraine,
1969,,CPH,Champagne Airlines,CHAMPAGNE,France,
1970,MG,CCP,Champion Air,CHAMPION AIR,United States,
1971,,NCH,Chanchangi Airlines,CHANCHANGI,Nigeria,
1972,2Z,CGN,Chang An Airlines,CHANGAN,China,
1973,,CHN,Channel Island Aviation,CHANNEL,United States,
1974,,WML,Chantilly Air,MARLIN,United States,
1975,,CPL,Chaparral Airlines,CHAPARRAL,United States,
1976,S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad,
1977,,CAH,Charlan Air Charter,CHARLAN,South Africa,ICAO Code and callsign no longer allocated
1978,,HMD,Charlie Hammonds Flying Service,HAMMOND,United States,
1979,,CGD,Charlotte Air National Guard,,United States,
1980,,CHW,Charter Air,CHARTER WIEN,Austria,
1981,,HRT,Chartright Air,CHARTRIGHT,Canada,
1982,RP*,CHQ,Chautauqua Airlines,CHAUTAUQUA,United States,Was US*
1983,,CBB,Cheboksary Airenterprise JSC,CHEBAIR,Russia,
1984,,CHM,Chemech Aviation,,Pakistan,
1985,,CHZ,Cherline,CHERL,Russia,
1986,,CMK,Chernomor-Avia,CHERAVIA,Russia,
1987,,CBM,Cherokee Express,BLUE MAX,United States,
1988,,CCY,Cherry Air,CHERRY,United States,
1989,,CAB,Chesapeake Air Service,CHESAPEAKE AIR,United States,
1990,,CVR,Chevron U.S.A,CHEVRON,United States,
1991,,CYA,Cheyenne Airways,CHEYENNE AIR,United States,
1992,,CGO,Chicago Air,WILD ONION,United States,
1993,C8,WDY,Chicago Express Airlines,WINDY CITY,United States,defunct
1994,,RAT,Chief Rat Flight Services,RIVERRAT,South Africa,
1995,,CCH,Chilchota Taxi Aéreo,CHILCHOTA,Mexico,
1996,,DES,Chilcotin Caribou Aviation,CHILCOTIN,Canada,
1997,,CAD,Chilliwack Aviation,CHILLIWACKAIR,Canada,
1998,,ETN,Chim-Nir Aviation,CHIMNIR,Israel,
1999,CI,CAL,China Airlines,DYNASTY,Taiwan,
2000,CK,CKK,China Cargo Airlines,CARGO KING,China,
2001,MU,CES,China Eastern Airlines,CHINA EASTERN,China,
2002,G5,HXA,China Express Airlines,CHINA EXPRESS,China,
2003,,CFA,China Flying Dragon Aviation,FEILONG,China,
2004,,CTH,China General Aviation Corporation,TONGHANG,China,
2005,,CAG,China National Aviation Corporation,CHINA NATIONAL,China,
2006,CJ,CBF,China Northern Airlines,CHINA NORTHERN,China,defunct.
2007,WH,CNW,China Northwest Airlines,CHINA NORTHWEST,China,defunct
2008,,CHC,China Ocean Helicopter Corporation,CHINA HELICOPTER,China,
2009,8Y,CYZ,China Postal Airlines,CHINA POST,China,
2010,CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China,
2011,,CXN,China Southwest Airlines,CHINA SOUTHWEST,China,defunct
2012,KN,CUA,China United Airlines,LIANHANG,China,
2013,XO,CXH,China Xinhua Airlines,XINHUA,China,
2014,3Q,CYH,China Yunnan Airlines,YUNNAN,China,defunct
2015,,CGU,Chinguetti Airlines,CHINGUETTI,Mauritania,
2016,,CEP,Chipola Aviation,CHIPOLA,United States,
2017,,CPW,Chippewa Air Commuter,CHIPPEWA-AIR,United States,
2018,X7,CHF,Chitaavia,CHITA,Russia,
2019,,CAS,Christman Air System,CHRISTMAN,United States,
2020,,OEC,Christophorus Flugrettungsverein,CHRISTOPHORUS,Austria,
2021,,CHO,Chrome Air Services,CHROME AIR,United States,
2022,,CHU,Church Aircraft,CHURCHAIR,United States,
2023,A2,CIU,Cielos Airlines,CIELOS,Peru,
2024,QI,CIM,Cimber Sterling,CIMBER,Denmark,
2025,C7,CIN,Cinnamon Air,CINNAMON,Sri Lanka,
2026,,RRU,Cirrus,HELICIRRUS,Chile,defunct
2027,,NTS,Cirrus Air,NITE STAR,United States,
2028,C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany,defunct
2029,,JTI,Cirrus Middle East,,Lebanon,
2030,,FIV,CitationAir,FIVE STAR,United States,
2031,,XCX,Citibank,,United States,
2032,,HZX,Citic General Aviation,ZHONGXIN,China,
2033,CF,SDR,City Airline,SWEDESTAR,Sweden,
2034,G3,CIX,City Connexion Airlines,CONNEXION,Burundi,defunct
2035,,XBG,City of Bangor,,United States,
2036,WX,BCY,CityJet,CITY-IRELAND,Ireland,
2037,,CAQ,Cityair (Chester) Limited,AIR CHESTER,United Kingdom,
2038,,CII,Cityfly,CITYFLY,Italy,
2039,CJ,CFE,CityFlyer Express,FLYER,United Kingdom,"Defunct, ICAO code in use by BA CityFlyer"
2040,,CNB,Cityline Hungary,CITYHUN,Hungary,
2041,,HSR,Citylink Airlines,HOOSIER,United States,
2042,,CIW,Civair Airways,CIVFLIGHT,South Africa,
2043,,CAP,Civil Air Patrol,CAP,United States,
